"","Label","Type","0- Reference","1- length only logistic","1b- length only logistic","2- length only dome","2b- length only dome","3a- age only_est LH","3b- age only_est LH rec devs","4a- lengths and ages","4b- lengths and ages rec devs","5a- catch length logistic","5b- catch length logistic rec devs","6a- catch length dome","6b- catch length dome rec devs","7a- catch ages","7b- catch ages rec devs","8a- catch length ages","8b- catch length ages rec devs"
"96",NA,"Wtlen_2_Fem_GP_1",2.89504,3,3,3,3,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504
"97",NA,"Mat50%_Fem_GP_1",40.36,40.36,40.36,40.36,40.36,40.29,40.29,40.29,40.29,40.36,40.36,40.36,40.36,40.29,40.29,40.29,40.29
"98",NA,"Mat_slope_Fem_GP_1",-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.377009,-0.377009,-0.377009,-0.377009,-0.380418,-0.380418,-0.380418,-0.380418,-0.377009,-0.377009,-0.377009,-0.377009
"99",NA,"Eggs_scalar_Fem_GP_1",1.41e-08,1e-05,1e-05,1e-05,1e-05,1.40671e-08,1.40671e-08,1.40671e-08,1.40671e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.40671e-08,1.40671e-08,1.40671e-08,1.40671e-08
"100",NA,"Eggs_exp_len_Fem_GP_1",4.685,3,3,3,3,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685
"101",NA,"NatM_uniform_Mal_GP_1",0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
"102",NA,"L_at_Amin_Mal_GP_1",0,1.8328,1.8328,1.8328,1.8328,1.8328,1.8328,-14.3015,-11.9528,1.8328,1.8328,1.8328,1.8328,-13.6842,-11.1737,-13.4046,-10.9737
"103",NA,"L_at_Amax_Mal_GP_1",44.8755,44.19,44.19,44.19,44.19,46.7407,45.4697,44.517,44.0455,44.19,44.19,44.19,44.19,46.1705,45.5899,44.4647,44.1515
"104",NA,"VonBert_K_Mal_GP_1",0.223622,0.2118,0.2118,0.2118,0.2118,0.14661,0.150822,0.203743,0.200004,0.2118,0.2118,0.2118,0.2118,0.188728,0.185647,0.201325,0.19582
"105",NA,"CV_young_Mal_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"106",NA,"CV_old_Mal_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"107",NA,"Wtlen_1_Mal_GP_1",2.56318e-05,1.003e-05,1.003e-05,1.003e-05,1.003e-05,2.56e-05,2.56e-05,2.56e-05,2.56e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56e-05,2.56e-05,2.56e-05,2.56e-05
"108",NA,"Wtlen_2_Mal_GP_1",2.89394,3,3,3,3,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394
"109",NA,"CohortGrowDev",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"110",NA,"FracFemale_GP_1",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"111",NA,"SR_LN(R0)",8.24482,8.87544,8.4497,8.89263,8.2412,8.7117,9.00446,8.68469,8.86493,7.56656,7.21797,7.5905,7.08252,7.93756,8.17368,7.89304,8.09178
"112",NA,"SR_BH_steep",0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
"113",NA,"SR_sigmaR",0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
"114",NA,"SR_regime",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115",NA,"SR_autocorr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116",NA,"Main_RecrDev_1980",-1.08,NA,0.331823,NA,0.453605,NA,-1.33014,NA,-0.955758,NA,0.225947,NA,0.442258,NA,-1.02704,NA,-0.88994
"117",NA,"Main_RecrDev_1981",-0.862507,NA,-0.369904,NA,-0.321859,NA,-1.08335,NA,-0.610131,NA,-0.333845,NA,-0.308329,NA,-0.838155,NA,-0.556258
"118",NA,"Main_RecrDev_1982",-0.317025,NA,-0.231728,NA,-0.063916,NA,-0.607815,NA,-0.0754749,NA,-0.222363,NA,-0.0278299,NA,-0.397756,NA,-0.00170568
"119",NA,"Main_RecrDev_1983",-0.441283,NA,-0.3281,NA,-0.231479,NA,-0.790132,NA,-0.238842,NA,-0.334631,NA,-0.224653,NA,-0.573463,NA,-0.160375
"120",NA,"Main_RecrDev_1984",-0.276819,NA,1.61651,NA,1.73499,NA,-0.323018,NA,-0.0454413,NA,1.7733,NA,1.88755,NA,-0.115339,NA,0.0428471
"121",NA,"Main_RecrDev_1985",-0.14697,NA,0.874819,NA,1.29813,NA,-0.241356,NA,-0.0375534,NA,0.985762,NA,1.59414,NA,-0.0171755,NA,0.0473986
"122",NA,"Main_RecrDev_1986",-0.333052,NA,-1.01631,NA,-1.24459,NA,-0.505358,NA,-0.307228,NA,-0.795697,NA,-1.33678,NA,-0.260961,NA,-0.24015
"123",NA,"Main_RecrDev_1987",-0.372012,NA,-0.230028,NA,0.226573,NA,-0.615345,NA,-0.411156,NA,-0.222,NA,0.260455,NA,-0.356096,NA,-0.372797
"124",NA,"Main_RecrDev_1988",-0.296899,NA,-1.42256,NA,-1.48959,NA,-0.687272,NA,-0.480393,NA,-1.28085,NA,-1.49899,NA,-0.428514,NA,-0.471776
"125",NA,"Main_RecrDev_1989",-0.0140731,NA,-1.59755,NA,-1.73182,NA,-0.384584,NA,-0.195492,NA,-1.49214,NA,-1.73646,NA,-0.147463,NA,-0.220255
"126",NA,"Main_RecrDev_1990",-0.0590344,NA,1.43141,NA,1.66959,NA,-0.326292,NA,-0.166452,NA,1.51076,NA,1.53896,NA,-0.123761,NA,-0.225016
"127",NA,"Main_RecrDev_1991",0.0777129,NA,-0.641814,NA,-1.40347,NA,-0.13055,NA,-0.00393391,NA,-1.06998,NA,-1.41744,NA,0.0132107,NA,-0.0946815
"128",NA,"Main_RecrDev_1992",0.00782925,NA,0.276273,NA,-0.547623,NA,-0.108128,NA,-0.0196154,NA,-0.691231,NA,-0.137556,NA,-0.0582818,NA,-0.147164
"129",NA,"Main_RecrDev_1993",0.0231986,NA,-1.09966,NA,1.16556,NA,-0.0111854,NA,0.0432438,NA,0.6938,NA,0.814111,NA,-0.0304502,NA,-0.0780938
"130",NA,"Main_RecrDev_1994",0.344175,NA,1.2796,NA,-1.2676,NA,0.385958,NA,0.407713,NA,-0.580313,NA,-0.979021,NA,0.326326,NA,0.303867
"131",NA,"Main_RecrDev_1995",0.303778,NA,0.656412,NA,1.83453,NA,0.385622,NA,0.388527,NA,1.48252,NA,1.60418,NA,0.331796,NA,0.307937
"132",NA,"Main_RecrDev_1996",0.0243693,NA,0.999618,NA,-1.4281,NA,0.141266,NA,0.13259,NA,-0.896031,NA,-1.29366,NA,0.101695,NA,0.0602646
"133",NA,"Main_RecrDev_1997",-0.0234348,NA,1.35863,NA,1.78955,NA,0.166881,NA,0.104553,NA,1.48832,NA,1.66262,NA,0.105425,NA,0.045393
"134",NA,"Main_RecrDev_1998",-0.299024,NA,-1.66551,NA,-1.64069,NA,-0.0241618,NA,-0.142769,NA,-1.54362,NA,-1.63893,NA,-0.160185,NA,-0.184369
