"","Label","Type","00- Reference model","01- 2015 M values","02- Lorenzen_M","03- Est M","04- Fix gr parms, est M","05- Fix gr parms","06- Est Lmin","07- Est growth CVs","08- Bio maturity","09- Fxn Mat Logistic","10- Fec=Wt","11- No rec devs","12- Est all rec devs","13- Sel all logistic"
"203",NA,"NatM_break_1_Fem_GP_1",NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",NA,"NatM_break_2_Fem_GP_1",NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",NA,"NatM_break_1_Mal_GP_1",NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206",NA,"NatM_break_2_Mal_GP_1",NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207",NA,"NatM_Lorenzen_Fem_GP_1",NA,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",NA,"NatM_Lorenzen_Mal_GP_1",NA,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",NA,"Main_RecrDev_1892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.035637,NA
"210",NA,"Main_RecrDev_1893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0356415,NA
"211",NA,"Main_RecrDev_1894",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0356466,NA
"212",NA,"Main_RecrDev_1895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0356523,NA
"213",NA,"Main_RecrDev_1896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0356588,NA
"214",NA,"Main_RecrDev_1897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0356661,NA
"215",NA,"Main_RecrDev_1898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0356743,NA
"216",NA,"Main_RecrDev_1899",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0356837,NA
"217",NA,"Main_RecrDev_1900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0356942,NA
"218",NA,"Main_RecrDev_1901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.035706,NA
"219",NA,"Main_RecrDev_1902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0357194,NA
"220",NA,"Main_RecrDev_1903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0357345,NA
"221",NA,"Main_RecrDev_1904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0357515,NA
"222",NA,"Main_RecrDev_1905",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0357707,NA
"223",NA,"Main_RecrDev_1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0357924,NA
"224",NA,"Main_RecrDev_1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0358169,NA
"225",NA,"Main_RecrDev_1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0358445,NA
"226",NA,"Main_RecrDev_1909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0358757,NA
"227",NA,"Main_RecrDev_1910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0359109,NA
"228",NA,"Main_RecrDev_1911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0359506,NA
"229",NA,"Main_RecrDev_1912",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0359953,NA
"230",NA,"Main_RecrDev_1913",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0360459,NA
"231",NA,"Main_RecrDev_1914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0361029,NA
"232",NA,"Main_RecrDev_1915",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0361672,NA
"233",NA,"Main_RecrDev_1916",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0362398,NA
"234",NA,"Main_RecrDev_1917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0363217,NA
"235",NA,"Main_RecrDev_1918",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0364141,NA
"236",NA,"Main_RecrDev_1919",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0365182,NA
"237",NA,"Main_RecrDev_1920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0366357,NA
"238",NA,"Main_RecrDev_1921",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0367683,NA
"239",NA,"Main_RecrDev_1922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0369177,NA
"240",NA,"Main_RecrDev_1923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0370863,NA
"241",NA,"Main_RecrDev_1924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0372763,NA
"242",NA,"Main_RecrDev_1925",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0374905,NA
"243",NA,"Main_RecrDev_1926",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0377318,NA
"244",NA,"Main_RecrDev_1927",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0380038,NA
"245",NA,"Main_RecrDev_1928",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0383101,NA
"246",NA,"Main_RecrDev_1929",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0386549,NA
"247",NA,"Main_RecrDev_1930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0390428,NA
"248",NA,"Main_RecrDev_1931",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0394793,NA
"249",NA,"Main_RecrDev_1932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0399703,NA
"250",NA,"Main_RecrDev_1933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0405226,NA
"251",NA,"Main_RecrDev_1934",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0411436,NA
"252",NA,"Main_RecrDev_1935",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0418416,NA
"253",NA,"Main_RecrDev_1936",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.042625,NA
"254",NA,"Main_RecrDev_1937",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0435022,NA
"255",NA,"Main_RecrDev_1938",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0444826,NA
"256",NA,"Main_RecrDev_1939",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.045578,NA
"257",NA,"Main_RecrDev_1940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.046802,NA
"258",NA,"Main_RecrDev_1941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.048173,NA
"259",NA,"Main_RecrDev_1942",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0497102,NA
"260",NA,"Main_RecrDev_1943",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.051434,NA
"261",NA,"Main_RecrDev_1944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0533597,NA
"262",NA,"Main_RecrDev_1945",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0555039,NA
"263",NA,"Main_RecrDev_1946",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0578876,NA
"264",NA,"Main_RecrDev_1947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0605795,NA
"265",NA,"Main_RecrDev_1948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0636334,NA
"266",NA,"Main_RecrDev_1949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0670716,NA
"267",NA,"Main_RecrDev_1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0709498,NA
"268",NA,"Main_RecrDev_1951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0752882,NA
"269",NA,"Main_RecrDev_1952",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.080221,NA
"270",NA,"Main_RecrDev_1953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0855922,NA
