"","Label","Type","00- Reference Model","01- No Acoustic visual","02- No tagging index","03- No non-trawl index","04- No ORBS index","05- No MRFSS index","06- No MPA index","07- Add SMURF index","08- No data-weighting","09- Dirichlet","10- McA-I","11- 2015 Catch history","12- Sex=3","13- Sex=3, est M","14- No age bias"
"29",NA,"Non.Trawl_wdis",303.655,300.394,302.68,315.955,301.463,296.879,303.695,303.372,1300.89,3399.93,79.7279,306.378,243.368,266.711,302.225
"30",NA,"Ocean",119.642,116.993,118.243,128.901,118.086,114.505,120.051,119.336,1055.33,2408.58,62.9417,123.44,80.2206,92.242,114.962
"31",NA,"Shore",25.6798,25.4588,25.7758,23.8489,26.1088,25.6848,25.7702,25.6996,115.148,354.345,96.8664,27.8964,24.123,20.6525,24.9289
"32",NA,"Acoustic_Visual",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",NA,"Tag",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
"34",NA,"MRFSS",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"35",NA,"MPA",18.6536,18.5019,18.7014,19.0365,18.6683,18.4549,NA,18.6596,51.9931,339.837,39.3027,18.7319,16.9125,17.877,18.1199
"36",NA,"SMURF",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"37","Lt_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",NA,"Trawl_wdis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",NA,"Non.Trawl_wdis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",NA,"Ocean",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",NA,"Shore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",NA,"Acoustic_Visual",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",NA,"Tag",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
"45",NA,"MRFSS",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"46",NA,"MPA",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
